CARBON_DIOXIDE_EMISSIONS_Metric_Ton_CO2e_,X_DIFFERENCE_FROM_NATIONAL_MEDIAN_SOURCE_EUI,X_DIFFERENCE_FROM_NATIONAL_MEDIAN_SITE_EUI,GROSS_BUILDING_FLOOR_AREA_ft_,NUMBER_OF_BUILDINGS,OCCUPANCY,POSTAL_CODE,PROPERTY_TYPE,SITE_ENERGY_USE_INTENSITY_EUI_kBtu_ft_,Source_EUI_kBtu_ft_,TOTAL_WATER_USE_kgal_,YEAR_BUILT
38.7,-12.8,-12.8,12300,1,100,91326,Library,44.7,125.2,157.8,1995
539.8,-43.1,-43.1,277000,1,100,90017,Mixed Use Property,30.4,65.7,14575.9,1987
82.5,-10.6,-10.6,164553,1,100,90502,Distribution Center,8.2,23.1,359.1,2013
378.3,-12.3,-12.3,188030,2,100,90047,Multifamily Housing,32.8,61.6,7007,2004
70.8,-73.4,-73.4,44752,1,95,90038,Multifamily Housing,29.7,31.4,3146.4,1928
155.5,107.5,107.5,64000,1,100,91311,Non-Refrigerated Warehouse,36.3,88.7,650.1,1987
82.5,-24.5,-24.5,46911,1,100,90007,Multifamily Housing,29.2,51.6,946.1,1979
51.1,-20,-20,26292,1,100,90028,Multifamily Housing,32.9,54.5,1223.1,1957
285.8,-0.5,-0.5,69986,1,100,90015,Office,58.3,161.1,2553.8,1967
5.7,-86.2,-86.2,22100,1,100,91331,Worship Facility,4.5,6.8,3.6,1951
561.6,146.3,146.3,110520,1,95,90014,Multifamily Housing,75.3,188.3,9272.1,1902
350.3,86.5,86.5,78000,1,100,90049,Multifamily Housing,69.8,145.3,2431.9,2013
890.6,215.6,215.6,138263,1,100,90021,Non-Refrigerated Warehouse,91.7,255.1,6478.9,1900
492.3,-3.6,-3.6,197158,1,95,90012,Multifamily Housing,39.5,81.9,3545,2007
83.4,-41.9,-41.9,58036,1,95,91343,Multifamily Housing,21.6,51.9,3226.3,1964
71.1,-38.7,-38.7,32698,1,100,91335,Multifamily Housing,31.1,85.3,1557.4,1964
38.5,-69.4,-69.4,30000,1,100,91606,Multifamily Housing,23.6,27.9,1785.4,1964
113.6,-75,-75,66768,1,100,90027,Other - Lodging/Residential,30.6,38.9,2255.6,1972
415.2,-0.3,-0.3,150960,1,100,91367,Multifamily Housing,44.9,84,8.3,2008
197.1,10.6,10.6,53654,1,80,91405,Residential Care Facility,58.4,118.9,3586.3,1963
543.4,-15.1,-15.1,199784,1,100,90028,Multifamily Housing,41.3,91.8,7551.6,1972
172,-45.5,-45.5,94380,1,100,90012,Multifamily Housing,29.5,54.4,3283.2,1980
53.2,-55.3,-55.3,57924,1,60,90017,Multifamily Housing,12.1,38,2234.4,1912
104.5,18.5,18.5,31298,1,100,91411,Multifamily Housing,52.8,109.4,2381.8,1963
0.4,-97.6,-97.6,20100,1,100,90015,Distribution Center,0.3,0.7,26.9,1922
519,-7.5,-7.5,136714,1,95,90014,Office,53.9,150.9,185682.8,1913
366.8,15,15,120000,1,100,91602,Multifamily Housing,49.5,95.1,4302.8,2012
472,3.6,3.6,141615,4,95,90066,Multifamily Housing,50.9,111.3,158.6,1969
106.3,-14.8,-14.8,38814,1,100,91401,Multifamily Housing,46.5,75.8,2060.6,1965
90.7,4.6,4.6,29124,1,95,91343,Multifamily Housing,51.7,91.4,2756.6,1962
55.3,-36.3,-36.3,25972,1,100,91311,Multifamily Housing,34.7,65.2,884883.4,1964
41.5,-25.3,-25.3,18660,1,95,91331,Multifamily Housing,36,69.4,1314.6,1962
0.5,-99.6,-99.6,25810,1,100,91331,Other,0.4,0.4,359.8,1963
617.5,-43,-43,226797,1,100,90017,Office,40,102.5,2056.4,1972
27.3,-72.1,-72.1,81332,5,85,91345,Self-Storage Facility,4.8,13.3,436.6,1940
1313.3,27.2,27.2,185073,1,90,90010,Office,100.7,282.1,7530.3,1971
381.9,-26.7,-26.7,153252,1,100,90014,Retail Store,35.4,99.1,617.1,1962
689.5,12.9,12.9,183000,1,40,90049,Museum,58.9,126.4,7837.4,1996
188.6,-17.4,-17.4,74994,6,100,90028,Multifamily Housing,37.4,88,1732.5,1987
55.7,8.8,8.8,21000,1,85,91602,Other - Services,37.7,105.4,103.3,1984
631.2,-23.4,-23.4,142082,0,100,91402,Retail Store,63.1,176.6,9739.6,1998
516,128.9,128.9,84451,1,100,91423,K-12 School,94.6,208.8,3684.2,1968
3179.2,373.3,373.3,179622,1,100,90027,Energy/Power Station,272.5,582.7,11529,2005
179.6,56.6,56.6,48760,1,100,90028,Multifamily Housing,58.7,118.9,3089.4,1924
39.9,-59.7,-59.7,46500,1,100,91342,Distribution Center,12.6,32.3,450.3,1982
244.3,-13.4,-13.4,64640,1,100,90057,Multifamily Housing,66,97.2,8224.8,1918
57.1,-61.8,-61.8,50000,1,100,90048,Multifamily Housing,18.2,35.1,1520,1989
489.3,-25,-25,113387,1,100,90048,Medical Office,61.6,170,3164.6,1982
167.8,-7,-7,62156,1,85,90024,Multifamily Housing,44.7,79.8,2336.2,1989
49.8,95.8,95.8,10345,1,100,90046,Other - Recreation,66.1,189.6,324.7,1969
165.3,-18.5,-18.5,60927,1,100,91405,Multifamily Housing,42.8,89.6,3403.2,2005
397.3,61.1,61.1,76521,1,100,91401,Automobile Dealership,69.9,209.5,937.3,2002
251.1,-6,-6,79314,2,95,91304,Multifamily Housing,48.5,105.3,5.6,1986
90.8,-32.1,-32.1,46101,1,100,91411,Multifamily Housing,31.9,61.3,1760.9,1963
65.4,198.3,198.3,29125,1,100,90001,Non-Refrigerated Warehouse,31.9,89.2,583.5,1978
39.5,1.2,1.2,10800,1,100,90744,Library,51.9,145.3,670.5,1988
2377.1,491.4,491.4,134910,1,100,91331,Other,232.7,728.1,4205.5,1979
3.6,-95.7,-95.7,37840,4,100,91304,Other,1.4,3.8,170.2,1975
124.9,-1.4,-1.4,46578,2,100,91316,Multifamily Housing,40,93.3,2443.1,1970
9.1,-84.3,-84.3,53800,1,100,91311,Distribution Center,2.4,6.7,141.4,1982
295.4,108.6,108.6,34400,1,100,90061,Police Station,122,321.9,1562.2,1990
63.5,-70,-70,47422,1,100,90024,Multifamily Housing,23.2,35.4,3101.6,1972
69.9,-68.7,-68.7,193967,1,100,90064,Self-Storage Facility,4.8,14.9,130,2001
235.1,-56.7,-56.7,145264,1,100,91606,Multifamily Housing,27,45.2,7639.9,2001
20.5,-83.9,-83.9,27948,1,100,90049,Multifamily Housing,12.8,19,838.5,1962
351.8,-14.9,-14.9,47805,1,100,90020,Hotel,122.5,214.8,10381.2,1926
590.6,-5.8,-5.8,185617,1,95,90017,Multifamily Housing,52,96.8,7007,2013
11763.1,1554.2,1554.2,163600,1,75,90014,Data Center,828.7,2602,10607.5,1929
52.6,-88.6,-88.6,156530,5,100,91342,Multifamily Housing,4.7,12.7,14204.8,1965
178.1,-3.4,-3.4,82105,1,100,91406,Other,30.8,86.2,5907.2,2001
259,-34,-34,74827,1,90,90292,Office,49.1,137.6,370.2,1984
277,-51.2,-51.2,179517,1,100,90028,Retail Store,17.8,55.8,1615.5,2000
448.3,-39.2,-39.2,122072,1,95,91403,Office,55.2,132.8,1683.4,1984
285,100.1,100.1,51532,3,100,90037,Retail Store,72.9,229,4760.6,1965
108.6,-35.4,-35.4,62106,4,95,91331,Residential Care Facility,24.8,69.5,3922,2009
275.7,-28.2,-28.2,178188,1,95,90034,Multifamily Housing,24.7,49.7,4098.6,2006
6.7,-92.8,-92.8,30712,1,90,91356,Retail Store,3.1,8.6,1837,1988
802.9,-8,-8,150962,1,60,90024,Hotel,80.7,179.8,7755.6,1972
335.7,153.2,153.2,32000,1,100,90038,Office,173.4,311.3,2969.8,1986
88.7,-52.8,-52.8,60840,1,95,90731,Multifamily Housing,19.2,60.4,3001.2,1974
499,28.1,28.1,28100,1,100,90024,Supermarket/Grocery Store,276.2,602,1595,2000
48.4,-46.9,-46.9,20883,1,100,90292,Multifamily Housing,39.7,62.7,562.5,1971
228.8,-43.6,-43.6,74947,1,70,91316,Office,42.3,118.5,483.3,1980
37,-32.7,-32.7,60420,1,100,90502,Non-Refrigerated Warehouse,8.7,24.3,498,1981
271.6,-3.5,-3.5,101286,1,90,91601,Multifamily Housing,43.4,83.7,5.8,2007
912.7,-6.9,-6.9,74501,1,100,90027,Supermarket/Grocery Store,170.3,473.8,4493.5,1986
1273.4,-37.9,-37.9,149708,1,100,90039,Supermarket/Grocery Store,129.1,302,5416.1,1996
12.5,-90.9,-90.9,51952,1,95,90501,Multifamily Housing,3.4,9.6,2151,1989
29.7,-64.6,-64.6,23435,1,0,91367,Financial Office,16.7,52.4,908.3,1965
231.2,6.4,6.4,31100,1,85,91307,Residential Care Facility,110.8,258.6,3964.4,1980
49.4,9.4,9.4,12500,1,100,91311,Library,56.1,157.2,138.5,2004
35.2,-79.4,-79.4,148960,1,100,90038,Self-Storage Facility,3.1,9.8,0,1996
116.5,-35.6,-35.6,58448,1,95,91607,Multifamily Housing,32.5,61,2006.3,2011
263.4,-3.8,-3.8,52900,1,95,91606,Office,73.6,175.8,202.2,1979
1590.8,-22.7,-22.7,263760,1,85,90094,Office,84.4,230.9,4744.4,2002
209,-13.5,-13.5,98484,1,100,90057,Multifamily Housing,32.9,68.9,311.9,1989
912.1,-35.8,-35.8,619807,1,95,90291,Multifamily Housing,21.6,55.4,20789.9,2016
82.3,-4.3,-4.3,22549,1,100,91344,Multifamily Housing,63.7,93.9,1449.7,1963
64.3,-8.2,-8.2,30214,1,100,90003,Multifamily Housing,34.1,68,1261,1998
66.5,-49.9,-49.9,29846,1,95,90066,Office,36.6,67.2,857.2,1970
271.3,-56.8,-56.8,134000,1,100,91406,Automobile Dealership,35,53.6,2226.2,2004
75.9,-41.2,-41.2,50140,1,100,90020,Multifamily Housing,24.9,45.7,2755,2015
94.8,-4.8,-4.8,28025,1,100,91401,Multifamily Housing,57.8,92.6,2752.8,1957
376.7,-56.8,-56.8,263000,1,100,90008,Retail Store,21.4,54.5,2211.9,1947
19.6,-47.4,-47.4,9639,1,100,90744,Office,29.8,72.3,13.5,1990
36.8,-3,-3,10500,1,100,90291,Library,49.7,139.3,1015.4,1995
605.9,-21.2,-21.2,148710,1,100,90007,College/University,62.4,142.4,1207.8,2007
61,15.1,15.1,14650,1,100,90710,Library,59.1,165.4,295.5,2006
31.6,-87.6,-87.6,55723,1,100,91311,Office,8,22.5,361.2,1986
3.8,-93.8,-93.8,19144,3,100,90018,Multifamily Housing,3.4,5.6,1252,1940
109.6,23.1,23.1,64440,1,100,91324,Non-Refrigerated Warehouse,24.7,65.3,509.7,1979
466,-20.4,-20.4,144530,1,100,90005,Multifamily Housing,49.6,106.5,6285.1,2008
788.8,-42.9,-42.9,187921,1,100,90028,Office,56,171.2,3181.5,1972
111.1,-2.7,-2.7,139000,1,100,90038,Non-Refrigerated Warehouse,11.4,31.7,378.1,1920
539.8,-50.6,-50.6,447146,2,100,91405,Multifamily Housing,17.6,46.2,5256.2,2016
958.7,5.6,5.6,351000,7,95,90035,Multifamily Housing,44.9,82.2,10531.6,1989
221.9,-0.4,-0.4,66530,1,95,90036,Multifamily Housing,59.6,79.6,3891.4,1951
68.5,-33.5,-33.5,22988,1,100,91402,Bank Branch,42.3,118.5,577.5,1956
37.6,-50.1,-50.1,22200,1,95,91304,Office,24,67.3,371.9,2000
92.2,-17.9,-17.9,44061,1,100,90210,Multifamily Housing,35,60.3,2791.7,1961
2.2,-91.7,-91.7,22838,1,100,90033,Non-Refrigerated Warehouse,1.4,3.9,11.1,1959
140.9,39.5,39.5,38234,1,100,91325,Multifamily Housing,58.7,118.9,2422.5,1964
144.6,141.9,141.9,28512,1,100,90059,Multifamily Housing,78.4,174.1,1806.5,1981
37.8,-59.9,-59.9,20748,1,100,90024,Multifamily Housing,31.7,47.3,576,1951
276.4,0.2,0.2,124400,1,95,90293,Multifamily Housing,36.5,67,1410.3,2004
673.9,-40.8,-40.8,198400,1,95,90014,Other - Mall,44.8,140.6,3042.6,1962
82.1,-9.4,-9.4,38862,1,100,90042,Multifamily Housing,33.5,68.8,2114.7,1989
95.7,121.8,121.8,17460,1,80,90044,Office,88.4,172.2,1034.5,2000
26.4,-77.6,-77.6,21927,1,100,90020,Multifamily Housing,22.1,26.5,1572.3,1959
154.7,2.8,2.8,45795,1,95,90036,Multifamily Housing,60.2,81.3,3396.2,1951
97.8,-46.7,-46.7,93064,1,90,90007,Multifamily Housing,14.9,41.8,3055.8,1991
180.8,-22.7,-22.7,68392,1,80,90248,Office,37.5,105.1,839.3,1926
272.2,-50.3,-50.3,100335,1,70,91403,Office,36.1,111,987.4,1985
1.4,-97.3,-97.3,21033,0,100,91356,Multifamily Housing,1,2.7,1258.7,1978
432,32.4,32.4,94961,1,100,91405,Multifamily Housing,64.8,180.1,6045,1974
84.4,231.8,231.8,10720,1,100,90047,Other - Recreation,105.1,321.3,498.2,1977
575.7,65.9,65.9,88500,1,100,91405,Medical Office,85.8,269.4,2266.5,2009
17.5,-58,-58,21096,1,100,91042,Multifamily Housing,11.8,33,1009.9,1978
734,16.3,16.3,116961,1,100,91402,Medical Office,87.7,240.8,4241,1969
689.7,-37.2,-37.2,214679,1,100,90017,Office,49.1,112.6,2616.7,1981
158.7,127.1,127,65000,1,100,91311,Non-Refrigerated Warehouse,34.7,97,1248.5,2001
2.4,54.2,54.2,672,1,100,90012,Other - Entertainment/Public Assembly,41.8,131.2,16.5,1962
525.9,-0.5,-0.5,160707,7,95,91325,Multifamily Housing,53.4,96.2,7238.2,1970
170.3,-23.7,-23.7,59612,1,95,91401,Multifamily Housing,46.9,86.1,4631.2,1986
378.8,-13.3,-13.3,145688,1,95,90069,Multifamily Housing,39.2,88.8,4191.3,1971
425.9,-34.1,-34.1,102317,1,95,90049,Office,59.7,154.1,2085.9,1973
120.6,-45.3,-45.3,31988,2,100,90007,College/University,52.9,143.7,207.8,2012
42.2,11.2,11.2,10500,1,100,90003,Library,57.1,159.8,111.5,2004
56.9,-25.7,-25.7,27394,1,100,90025,Multifamily Housing,35.2,58.2,899.2,1973
614.1,-11.7,-11.7,241657,1,95,91303,Multifamily Housing,39.7,81.4,9454.6,2007
121.7,16.8,16.8,33348,1,100,91343,Multifamily Housing,62.6,98.5,3678.2,1964
2784.1,-44,-44,755200,1,95,90017,Office,48.6,152.6,104.8,1990
95.9,-60.4,-60.4,54099,1,100,91367,Office,27.4,60.9,1282.9,1978
193.9,42.7,42.7,40000,1,100,90048,Vocational School,77,157.4,756.9,1951
127.3,-10.7,-10.7,47641,1,95,91367,Multifamily Housing,44,80.1,2614.8,1971
77.2,16,16,24330,1,100,90006,Multifamily Housing,53.9,88.1,2943.6,1964
64.3,27.1,27.1,14000,1,100,90042,Library,65.2,182.6,221,2003
26.6,-45.7,-45.7,51500,1,85,90061,Distribution Center,7.4,20.2,92,1972
509.4,-9.4,-9.4,84353,1,100,91316,Other - Mall,94,204.1,5299.9,1973
2861.4,101.6,101.6,143139,1,100,90007,Laboratory,319.3,641.5,4432.7,2004
60.7,49.2,49.2,30577,21,100,90502,Non-Refrigerated Warehouse,28.2,78.9,372.2,1980
134.6,-67.1,-67.1,97944,1,95,91601,Multifamily Housing,24.2,34.3,3716.9,2017
275.8,-16.1,-16.1,64189,1,100,90007,College/University,65.5,151.6,2282.3,1986
6164.9,92.7,92.7,920000,1,75,90015,Indoor Arena,108.9,215.8,28926.4,1999
2485.4,-48.1,-48.1,896095,1,100,90067,Office,39.4,110.2,10916.7,1987
234.3,-3.7,-3.7,68016,1,90,90014,Office,45.4,142.6,1093.7,1927
89.2,21.4,21.4,30160,1,100,91352,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",42,117.6,646.7,1993
118.4,-31.1,-31.1,41223,3,100,91402,Multifamily Housing,48.6,80.4,3700.6,1985
590.2,41.9,41.9,169095,1,95,90036,Multifamily Housing,53.8,114.9,7578.5,2005
81.8,-5.9,-5.9,27444,1,100,91402,Multifamily Housing,50.4,83.6,3005.7,1960
200.4,-50.1,-50.1,134519,2,100,90005,Multifamily Housing,23.8,45.6,2435.9,2014
398.7,-29.2,-29.2,93464,1,100,91367,Office,64.9,150.9,5140.6,1979
25.3,-60.4,-60.4,53113,1,100,90006,Self-Storage Facility,6.8,18.9,31,2009
884.7,9.6,9.6,201754,1,95,90015,Multifamily Housing,54.7,149.3,5004.5,2008
126.1,-11.6,-11.6,37992,1,80,90028,Office,47.5,130.1,481.8,1983
65.5,-50.4,-50.4,132600,1,100,91311,Distribution Center,6.5,20.4,1873.1,1981
599.8,84.7,84.7,128909,1,100,91402,Multifamily Housing,72.4,157.4,2314.5,1965
49.3,-47.1,-47.1,41250,1,100,90065,Other,17.1,47.2,118.2,1973
172.2,27.6,27.6,56798,1,100,91356,Multifamily Housing,45.3,110.5,350.1,1979
922,36,36,91500,1,70,91342,Refrigerated Warehouse,116.7,363.3,2931.1,2014
150.8,-24.8,-24.8,56696,1,100,91311,Multifamily Housing,43.3,82.1,2784.2,1989
88.9,-7,-7,32944,1,100,91607,Multifamily Housing,46.1,73.7,1047.3,1961
33,-38,-38,60000,1,100,91406,Non-Refrigerated Warehouse,7.9,21.5,906.1,1981
19,-71.7,-71.7,16119,1,100,91403,Fire Station,16.8,43.6,87.4,1975
205.1,-55.2,-55.2,167461,1,100,90034,Multifamily Housing,20.6,33.7,6609.8,1978
31.6,-63.8,-63.8,40000,1,100,90032,Office,11.2,31.4,498.4,1955
87.4,-65.5,-65.5,112711,1,100,90015,Other,11,30.8,351.7,1965
105.4,-13.4,-13.4,39000,1,100,91343,Multifamily Housing,45.1,78.6,4523.6,1963
502,23.7,23.7,134910,1,100,91331,Other,49.5,152.3,751.8,1979
36.7,-75.8,-75.8,31254,1,100,90731,Multifamily Housing,20.9,28.5,2000,1981
286.3,-31.6,-31.6,176907,1,95,91364,Multifamily Housing,22.8,61.6,7526.6,1989
305.3,388.5,388.5,25461,1,50,90045,Other - Services,159.7,490.4,1048.8,1992
136.5,-45.3,-45.3,78125,1,95,90028,Multifamily Housing,28.7,52.8,3028.9,1990
31.4,-79.9,-79.9,28666,1,95,91042,Multifamily Housing,20.1,23.7,1151.5,1980
82.3,-39.9,-39.9,52253,1,95,91423,Multifamily Housing,24.5,50.9,1817,1961
91.5,-1.8,-1.8,24852,1,95,91403,Office,52.3,146.4,211,1984
4.4,-59.5,-59.5,10600,1,100,90248,Distribution Center,5.9,16.4,5904.8,1979
105.4,-6.3,-6.3,31594,1,90,91311,Office,47.4,132.7,407.6,2000
483.2,56.6,56.6,131161,1,100,90013,Multifamily Housing,58.7,118.9,8310.4,1907
177.5,-38.5,-38.5,119428,1,100,90011,Multifamily Housing,24.1,46.2,8548.7,2009
54.4,-15.6,-15.6,60000,1,100,91352,Non-Refrigerated Warehouse,12.9,35.7,111.5,1974
493.6,122.8,122.8,23830,1,100,90025,Strip Mall,366.7,509.7,743.6,1989
6.9,-90.9,-90.9,25437,0,100,90025,Multifamily Housing,3.9,10.8,1535,1986
155.7,22.3,22.3,41520,1,95,91306,Multifamily Housing,62.4,109.7,4207.8,1986
54.2,-22.1,-22.1,32084,1,90,91304,Multifamily Housing,24,67.1,2709.4,1978
77.3,220,220,23326,1,100,90058,Non-Refrigerated Warehouse,47.3,131,118.9,1956
72.1,-42.8,-42.8,42411,2,100,90011,Multifamily Housing,26,59.5,2167.5,1998
177.7,-23.7,-23.7,78944,1,95,90232,Multifamily Housing,39,59.2,2239.7,1971
2926.4,-27.7,-27.7,640095,1,95,90067,Office,70.8,156.3,10828.8,1971
129.4,-39.1,-39.1,148000,1,95,91402,Distribution Center,15.6,20.9,2009.3,1992
17,-78.5,-78.5,60978,1,100,91605,Self-Storage Facility,4.1,10.3,153,2000
229.4,-21.6,-21.6,62545,1,100,90049,Office,56.7,125.7,1022.6,1963
51.5,13.9,13.9,12500,1,100,91423,Library,58.5,163.7,376.3,2003
1109.6,38.2,38.2,152457,1,100,90027,Medical Office,102,278.1,3832,1983
417.2,26.8,26.8,86702,1,95,90071,Office,69.3,176.7,1426.5,1968
267.4,25.8,25.8,52900,1,95,91606,Office,78.1,173.6,307.6,1979
38.2,-37.9,-37.9,24746,1,100,90025,Multifamily Housing,25.2,47.1,651.6,1963
2810.5,-44.7,-44.7,636803,1,85,90024,Office,53.3,154.1,12128.2,1971
843.1,20.9,20.9,116961,1,100,91402,Medical Office,90.2,244.8,4531,1969
130.7,-8.3,-8.3,48970,1,95,90027,Multifamily Housing,40.9,93.1,5,2003
9,-81.9,-81.9,26000,1,100,90027,Multifamily Housing,4.9,13.8,778,1963
2.4,-97.3,-97.3,21420,1,100,91311,Office,1.6,4.5,74600.8,1969
143.7,-37.3,-37.3,73519,1,95,91343,Multifamily Housing,32.6,56.7,6161,2009
59.6,19,19,12865,1,100,90008,Office,61.1,191.9,77.3,1957
420,-3.2,-3.2,156522,1,100,91606,Multifamily Housing,40.3,92.1,5959,2001
687.4,-39.2,-39.2,162741,1,90,91364,Office,60.2,157.6,6561.3,1986
758.3,59.6,59.6,210966,1,100,90029,Social/Meeting Hall,57.1,111.4,751.8,1929
315.6,183.6,183.6,50603,3,100,90021,Multifamily Housing,106.3,171.5,1693.6,2012
43.6,64,64,10560,1,100,90032,Other - Recreation,57.6,158.7,202,1979
50.5,11.7,11.7,12500,1,100,90066,Library,57.3,160.4,670.2,2003
80.8,79.6,79.6,9000,1,100,91344,Office,128.4,332.9,424.5,1990
40,-65.3,-65.3,30720,1,90,91405,Office,18.5,51.8,363.8,1956
32.1,-57.8,-57.8,15042,1,100,90035,Multifamily Housing,38.3,49.9,1106.1,1975
1107,-41.7,-41.7,395003,1,75,90017,Office,43,97.6,4245.4,1960
46.7,-43.2,-43.2,25805,1,95,90025,Multifamily Housing,29.4,55.9,910.4,1987
1214.8,20.7,20.7,313702,1,95,91324,Multifamily Housing,57.9,134.2,16069.8,2010
86.8,-11.8,-11.8,26252,1,100,91343,Multifamily Housing,55.9,92.9,2464.8,1985
113.7,-9.7,-9.7,35113,1,95,91316,Office,46,128.7,1479.6,1960
21.4,-91.9,-91.9,85989,1,100,91343,Multifamily Housing,3.3,10.3,6973.5,1970
49.3,-22.2,-22.2,29030,1,100,90049,Multifamily Housing,26.5,57.2,599.2,1991
114.3,61.9,61.9,31038,1,100,90272,Multifamily Housing,58.7,118.9,1966.6,1991
54.3,20.3,20.3,12500,1,100,90036,Library,61.7,172.8,138.4,2005
55.7,-52.4,-52.4,53328,1,95,90057,Multifamily Housing,13.8,43.2,3085,1981
318,-73.9,-73.9,78778,1,100,91331,Supermarket/Grocery Store,67.6,116,2817.2,1992
2.6,-97.5,-97.5,18580,2,100,91316,Strip Mall,2,5.7,422.9,1977
124.5,-15.9,-15.9,53247,1,100,90068,Multifamily Housing,36.1,76.6,2936.9,1988
691.2,28.7,28.7,118842,1,100,91607,Office,82.6,231.2,976,1960
84.2,220.1,220.1,8000,1,100,90049,Other - Recreation,171.6,309.9,2380.3,1982
34.1,-90.8,-90.8,131697,4,100,91311,Movie Theater,3.7,10.3,13262.3,1997
306.1,20.6,20.6,68948,6,95,90031,Multifamily Housing,70.8,136.9,11.9,2013
196.6,-15.3,-15.3,70749,1,100,90013,Multifamily Housing,44.5,88.8,2464.7,2012
44.2,-66.3,-66.3,28081,3,100,91405,Multifamily Housing,27.5,40.5,1663.1,1985
1271.7,-32.6,-32.6,358204,1,100,90028,Office,51,138.7,6411.4,1971
863.4,-29.8,-29.8,270349,1,95,91342,Office,45.3,126.9,3727.7,2000
258.5,-88.4,-88.4,371988,7,60,90007,Other,12.9,14.3,6553.2,1918
22.2,8.3,8.3,30500,1,100,91605,Non-Refrigerated Warehouse,10.4,28.6,24.7,1953
19.1,-91.8,-91.8,78296,1,95,91602,Multifamily Housing,3.5,9.7,120.7,2017
5.2,-93.3,-93.3,22000,1,100,91304,Retail Store,3.3,9.4,32.9,1979
80.9,-79.3,-79.3,75362,2,95,91406,Multifamily Housing,18.6,27.5,4457.8,1988
161,-9.9,-9.9,54000,1,100,90045,Mixed Use Property,42.3,118.5,2468.6,1993
62.2,23,23,14000,1,100,91335,Library,63.1,176.6,701.6,2002
914.3,-7.7,-7.7,242010,1,100,90094,Office,43.5,136.7,3490.4,2009
326.8,16.5,16.5,105633,1,100,90004,Multifamily Housing,45.9,108.3,6345.9,1971
625,-3.5,-3.5,140000,1,100,90017,Office,65.1,170.1,1893,1966
996.4,29.1,29.1,211381,1,95,90017,Multifamily Housing,67.2,175.7,7816.4,2014
427.8,-21.5,-21.5,167455,1,95,90015,Multifamily Housing,41.2,80.1,5588.7,2015
119.9,-10.2,-10.2,38854,1,90,91406,Multifamily Housing,50.9,92,1728,2004
125.2,-31.1,-31.1,64652,1,100,91601,Multifamily Housing,28.7,68.2,3583.9,2013
39.8,-72.5,-72.5,68577,1,100,91311,Non-Refrigerated Warehouse,7.7,24,198.8,1964
14.5,-78.7,-78.7,20608,1,100,90034,Multifamily Housing,12.8,15.7,625.7,1969
145.5,-27,-27,47378,3,95,91331,Multifamily Housing,49.3,93.4,5305.2,1987
566.5,-43.3,-43.3,176396,1,90,90064,Office,42.3,133,1957.5,1985
62.6,-12.7,-12.7,24897,1,100,90744,Multifamily Housing,43.4,66.6,2080.3,1987
718.1,-1,-1,169150,1,100,90024,Senior Care Community,65.8,144.8,919.8,2009
603.9,-2.4,-2.4,42905,1,100,91405,Supermarket/Grocery Store,216.6,487,2524.6,1962
414.6,-44,-44,163608,1,100,90014,Office,36,100.7,3316.1,1926
70.2,-19.8,-19.8,33478,1,100,90046,Multifamily Housing,34.2,64.2,1703.3,1978
52.2,-16.7,-16.7,15105,1,100,90094,Fire Station,49.3,128.6,161.5,2007
1640.3,61.3,61.3,163943,1,100,90089,Medical Office,145.9,360.6,17931,1989
54.6,-61.1,-61.1,122050,1,100,90012,Self-Storage Facility,5.9,18.5,54.6,1941
317.1,-31.3,-31.3,95740,1,85,90014,Multifamily Housing,56.5,87.9,2785.5,1925
38,-69,-69,27922,1,90,90020,Multifamily Housing,24.5,31.7,1393.6,1988
644.6,6.2,6.2,249999,1,95,90028,Multifamily Housing,37.5,93.2,7886,2010
88.3,-31.8,-31.8,38854,1,95,91342,Multifamily Housing,37,69.7,1764.7,2007
8159.3,15.4,15.4,500000,1,100,91325,Hospital (General Medical & Surgical),250.3,540.9,24522.2,1968
271.7,-28.9,-28.9,103927,1,95,91304,Multifamily Housing,40.5,85.2,4438.2,2014
105.6,-84.6,-84.6,266610,3,95,91406,Multifamily Housing,5.6,15.7,16656.4,1967
184.7,0.1,0.1,62437,2,100,91324,Multifamily Housing,46.1,95.3,5305.2,1971
347.2,-19.8,-19.8,130847,1,95,91604,Multifamily Housing,32.6,91.5,5128.6,2007
140.1,-15.4,-15.4,53792,1,95,90027,Multifamily Housing,42.6,76,0,1971
78.1,5.1,5.1,26852,1,100,91303,Multifamily Housing,47.3,89.6,1656.9,1963
865.3,-54.2,-54.2,248000,1,95,91436,Office,48.2,136.2,4031.3,1974
38.1,16.6,16.6,9300,1,80,90011,Office,56.8,158.5,332.6,1978
115.9,-48.6,-48.6,85629,1,95,91325,Multifamily Housing,22.3,40.6,2641.4,2015
35.9,111.5,111.5,6459,1,50,91406,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",82.5,204.9,68.5,2001
234.6,10.1,10.1,65914,1,95,90036,Multifamily Housing,62.8,88.5,4077.6,1951
350.1,-13.8,-13.8,64797,1,100,90045,Office,79.5,192.1,1568.6,1990
32.8,-69.8,-69.8,23079,1,100,91040,Multifamily Housing,25.5,33.4,1244.5,1989
276.4,-6.9,-6.9,67583,1,100,90025,Office,61.7,147,857.3,1991
972.1,83.9,83.9,91284,1,100,90027,Medical Office,166.8,356,993,2015
